Date,s1,s2
2022-01-03,179.7245635986328,179.7245635986328
2022-01-04,179.507324945359,179.63511238846127
2022-01-05,178.86125466828983,179.36407217856606
2022-01-06,178.0021119129579,178.99058918086956
2022-01-07,177.24077912846488,178.6383353963563
2022-01-10,176.553834692309,178.30066979449245
2022-01-11,176.20409582047824,178.0881563334569
2022-01-12,175.9299845741827,177.90140227074784
2022-01-13,175.36787771462514,177.59263600714314
2022-01-14,174.94206415391307,177.33005558831982
2022-01-18,174.2492858969742,176.9511472301918
2022-01-19,173.28675392538736,176.4488551896083
2022-01-20,172.2541397820097,175.89965715942455
2022-01-21,171.12238187540834,175.29067773210184
2022-01-24,170.024114665548,174.67498747483805
2022-01-25,168.85740821163049,174.0121917659979
2022-01-26,167.7933516632014,173.37190245961074
2022-01-27,166.78643566123728,172.73852329031533
2022-01-28,166.92022494536053,172.56019779440223
2022-01-31,167.45975848851072,172.56118325926636
2022-02-01,167.93192248662874,172.5555478557167
2022-02-02,168.47479027854578,172.5977630104634
2022-02-03,168.68947002461806,172.5244753477905
2022-02-04,168.8563966610384,172.44281747952544
2022-02-07,168.93868976409797,172.33605892123677
2022-02-08,169.31163786041157,172.35639562139968
2022-02-09,169.78560273494082,172.432155363422
2022-02-10,169.82271318410568,172.34364975902002
2022-02-11,169.52860753627047,172.12368717560105
2022-02-14,169.28511239656243,171.92165664202201
2022-02-15,169.43297859874994,171.87914883329688
2022-02-16,169.54416331228043,171.82900252967033
2022-02-17,169.29918667009525,171.63852825671603
2022-02-18,168.92876213045818,171.39426161935094
2022-02-22,168.3130157068543,171.04403271987118
2022-02-23,167.3557246253049,170.5427553328404
2022-02-24,166.74101665085252,170.16465868816252
2022-02-25,166.38353335235243,169.8831992108464
2022-02-28,166.08551722485905,169.6232448893886
2022-03-01,165.63509309323186,169.29904171108996
2022-03-02,165.54395094968,169.117828333633
2022-03-03,165.43041484965468,168.93092612052638
2022-03-04,165.03955491140633,168.63270884121346
2022-03-07,164.321513688445,168.19613681098207
2022-03-08,163.49671696300157,167.70456862511176
2022-03-09,163.26930310556912,167.44591383432154
2022-03-10,162.6464102014487,167.0256398648307
2022-03-11,161.7259693256783,166.4749003017338
2022-03-14,160.50618154531236,165.78640215781624
2022-03-15,159.82346828011518,165.2982174559702
2022-03-16,159.62950608528277,165.00365462375078
2022-03-17,159.55100134371565,164.76057821885183
2022-03-18,159.79635769593244,164.65731017270048
2022-03-21,160.15017544791954,164.61237424795917
2022-03-22,160.7942142050187,164.7025784891161
2022-03-23,161.50780001733835,164.84313875363605
2022-03-24,162.5168925380085,165.12784984111602
2022-03-25,163.49108328541172,165.426596725219
2022-03-28,164.45535935876907,165.7477490911188
2022-03-29,165.6441811609101,166.1865820005357
2022-03-30,166.60773146468878,166.5620673868122
2022-03-31,167.18196287327868,166.80030636203068
2022-04-01,167.6732564714709,167.0175706480019
2022-04-04,168.5066486076515,167.3864452853888
2022-04-05,168.94239933549423,167.6098015977265
2022-04-06,169.03251035720683,167.69916487089316
2022-04-07,169.1432287137191,167.79704284068504
2022-04-08,169.05037006390063,167.81159852891798
2022-04-11,168.55769275312736,167.6573106768342
2022-04-12,168.29178589819782,167.58312871995315
2022-04-13,168.30920783041933,167.61809293432847
2022-04-14,167.84379987670377,167.45355691009624
2022-04-18,167.40200377376993,167.28694451346104
2022-04-19,167.22168017217578,167.21720574654222
2022-04-20,167.04252159737035,167.14361003635307
2022-04-21,166.80415505015054,167.0414948526358
